Category,Question,Alternative Phrasing,Answer,Tags
Store Info,What are your working hours?,When are you open?,"We are open from Monday to Saturday, 9 AM to 7 PM, and on Sundays from 11 AM to 5 PM.","hours, working, schedule"
Store Info,Where are you located?,What is your address?,"We are located at 123 Sports Street, Downtown City.","location, address, store"
Delivery,Do you offer home delivery?,Can you deliver to my home?,"Yes, we offer home delivery across the country. Free delivery on orders above $50!","delivery, shipping, home"
Delivery,How much does delivery cost?,Is delivery free?,Standard delivery costs $5. Orders above $50 qualify for free delivery.,"delivery, shipping, cost"
Order Tracking,How can I track my order?,Where can I track my order?,You can track your order using the tracking link sent to your email after the purchase.,"tracking, order, shipment"
Returns,What?s your return policy?,Can I return my purchase?,We accept returns within 30 days of purchase. The product must be unused and in its original packaging.,"returns, refunds, policy"
Returns,How do I return a product?,How can I send back my order?,You can return the product by visiting our store or sending it back via courier. Contact us for details.,"return, product, process"
Products,Do you sell running shoes?,What types of shoes do you have?,"Yes, we have a wide variety of running shoes. You can browse our selection on our website or visit our store.","shoes, products, running"
Products,Can I order shoes online?,Can I buy products from your website?,"Yes, you can order shoes and other sports gear directly from our website. We offer both pickup and delivery options.","online, order, shoes"
Discounts & Offers,Do you have any discounts on football kits?,Are there any sales on football gear?,"Yes, we currently offer a 10% discount on all football kits. The offer is valid until the end of this month.","discounts, football, kits"
Discounts & Offers,Do you offer student discounts?,Is there a discount for students?,"Yes, we offer a 15% discount for students. You?ll need to show your student ID at checkout.","discounts, student, ID"
Brands,What brands do you carry?,What companies do you work with?,"We carry top brands like Nike, Adidas, Puma, Reebok, and more.","brands, products, partners"
Sizing & Fit,How do I find my shoe size?,What is my shoe size?,"We have a sizing guide available on our website. Please visit the ""Sizing Guide"" section for details.","sizing, guide, shoes"
Product Authenticity,Are your products authentic?,Are your items genuine?,"Yes, all our products are 100% authentic and come directly from the brands.","authenticity, genuine, brands"
Accessories,Do you sell sports accessories?,Do you have water bottles and gym bags?,"Yes, we have a range of sports accessories including water bottles, backpacks, and gym equipment.","accessories, products, gear"
Payment,What payment methods do you accept?,How can I pay for my order?,"We accept Visa, MasterCard, PayPal, and cash on delivery (for orders within the country).","payment, methods, billing"
Order Modifications,Can I change my order after placing it?,Can I update my order?,You can change your order within 24 hours of placing it. Please contact our customer support team.,"modify, order, change"
Order Status,When will my order arrive?,How long will it take for my delivery?,Standard delivery takes 3-5 business days. You?ll receive an email notification when your order is shipped.,"shipping, delivery, timeline"
Gift Cards,Do you offer gift cards?,Can I buy gift vouchers?,"Yes, we offer both physical and digital gift cards. You can purchase them on our website or in-store.","gift cards, vouchers, offers"
Loyalty Program,Is there a loyalty program?,Do you have a rewards program?,"Yes, we have a loyalty program where you earn points for every purchase. Points can be redeemed for discounts.","loyalty, rewards, program"
Kids' Gear,Do you sell kids' sports gear?,What items do you have for kids?,"Yes, we have a dedicated section for kids' sports gear including shoes, clothing, and accessories.","kids, gear, products"
Pickup,Can I pick up my order in-store?,Do you offer in-store pickup?,"Yes, you can select the in-store pickup option during checkout. We?ll notify you when your order is ready for pickup.","pickup, store, order"
Order Cancellation,How do I cancel my order?,Can I cancel my order?,You can cancel your order within 24 hours of placing it by contacting our support team.,"cancel, order, support"
